latency,type,urevent,urtype,ID,ProblemItem,confidence,confidence_rt,difficulty,fluency,participant,response,response_time,confidence_level,epoch,Subject,ERN_FzCz,Pe_PzCz
39125,response,339,201,55,8 * 9 = 72,99.725,2.36432713759132,easy,high,cnf006,correct,1.31692526373081,high,110,cnf006,-1.577837,-0.5874435
39483,response,342,201,38,19 * 7 = 135,67.1833333333333,3.74740007787477,hard,low,cnf006,correct,1.26689348032232,high,111,cnf006,-8.643753,-14.28094
39841,response,345,200,34,18 * 8 = 144,32.9,2.13057276222389,hard,high,cnf006,error,1.60015721735545,low,112,cnf006,-15.9452,-17.58841
40199,response,348,201,44,6 * 8 = 46,98.7166666666667,1.98080839577597,easy,low,cnf006,correct,1.48343894665595,high,113,cnf006,4.029471,2.995297
40557,response,351,201,42,6 * 6 = 34,99.2666666666667,2.03077731782105,easy,low,cnf006,correct,1.0501270374516,high,114,cnf006,-13.04598,-12.76954
40915,response,354,200,58,9 * 7 = 63,NA,NA,easy,high,cnf006,error,0.933380864094943,,115,cnf006,-3.690722,2.929834
41273,response,357,201,56,9 * 4 = 34,98.2583333333333,2.04837173316628,easy,low,cnf006,correct,1.05024281761143,high,116,cnf006,1.530429,-1.900243
41631,response,360,201,51,8 * 4 = 34,95.325,1.84789244830608,easy,low,cnf006,correct,0.950375211192295,high,117,cnf006,8.456172,4.948253
41989,response,363,201,63,16 * 7 = 112,3.38333333333333,2.68078831851017,hard,high,cnf006,correct,1.25012812798377,low,118,cnf006,2.270496,-11.98745
42347,response,366,201,59,9 * 8 = 74,65.35,2.38066849729512,easy,low,cnf006,correct,1.2668181109475,med,119,cnf006,8.436471,9.602165
42705,response,369,200,35,18 * 9 = 164,66.5416666666667,2.03091169975232,hard,low,cnf006,error,1.30020160507411,med,120,cnf006,-4.944804,-6.967945
43063,response,372,201,50,7 * 9 = 63,98.9,2.0310717393877,easy,high,cnf006,correct,1.50018184864894,high,121,cnf006,9.537665,-18.40973
43421,response,375,200,36,19 * 4 = 76,2.65,2.0137881024275,hard,high,cnf006,error,1.41689870797563,low,122,cnf006,3.86077,-10.23779
43779,response,378,201,41,6 * 4 = 26,98.2583333333333,3.14780700835399,easy,low,cnf006,correct,1.03352525259834,high,123,cnf006,-4.585022,-9.872319
44137,response,381,201,60,9 * 9 = 81,98.625,1.93108867353294,easy,high,cnf006,correct,0.766815224546008,high,124,cnf006,0.4942724,6.99327
103,response,3,201,33,18 * 7 = 124,21.2583333333333,2.74702323111705,hard,low,cnf008,correct,1.18347339204047,low,1,cnf008,-1.328754,-10.81591
461,response,6,201,62,16 * 6 = 94,27.3083333333333,2.53093928180169,hard,low,cnf008,correct,1.1835112371482,low,2,cnf008,-2.868745,-7.818985
819,response,9,201,41,6 * 4 = 26,92.2083333333333,1.99804232106544,easy,low,cnf008,correct,1.31738517724443,high,3,cnf008,-9.77129,-8.529337
1177,response,12,201,55,8 * 9 = 72,92.9416666666667,2.14820566400886,easy,high,cnf008,correct,1.0502793797059,high,4,cnf008,-9.386749,-9.468533
1535,response,15,200,36,19 * 4 = 76,23.7333333333333,2.2643283563666,hard,high,cnf008,error,0.900307507021353,low,5,cnf008,-13.46026,-15.78523
1893,response,18,200,44,6 * 8 = 46,56,4.13044800190255,easy,low,cnf008,error,1.13348971668165,med,6,cnf008,-22.10945,-10.83854
2251,response,21,201,51,8 * 4 = 34,64.25,2.48089883883949,easy,low,cnf008,correct,1.20008993009105,med,7,cnf008,-16.74054,9.181039
2609,response,24,200,54,8 * 8 = 66,29.7833333333333,2.41398816800211,easy,low,cnf008,error,1.26685659750365,low,8,cnf008,-10.38091,13.05136
2967,response,27,200,39,19 * 8 = 152,63.6083333333333,2.2473032202106,hard,high,cnf008,error,1.55019919958431,med,9,cnf008,-14.53123,-19.03164
3325,response,30,200,61,16 * 4 = 66,21.8083333333333,2.31414557760581,hard,low,cnf008,error,1.43349119194318,low,10,cnf008,-3.240005,0.03173278
3683,response,33,201,48,7 * 7 = 49,97.25,2.21462274587248,easy,high,cnf008,correct,0.883458767086267,high,11,cnf008,-6.177939,-11.88532
4041,response,36,201,60,9 * 9 = 81,97.4333333333333,2.197928593494,easy,high,cnf008,correct,0.716821927577257,high,12,cnf008,6.600158,8.898974
4399,response,39,201,38,19 * 7 = 135,19.6083333333333,3.997932313825,hard,low,cnf008,correct,1.21678312041331,low,13,cnf008,-23.5778,-22.47859
4757,response,44,200,63,16 * 7 = 112,23.275,2.03094922413584,hard,high,cnf008,error,0.983680449309759,low,14,cnf008,6.193949,3.192646
5115,response,47,201,56,9 * 4 = 34,79.65,2.79660151549615,easy,low,cnf008,correct,1.39986651600339,high,15,cnf008,-0.4639408,1.546877
5473,response,50,201,57,9 * 6 = 56,88.45,3.28016746742651,easy,low,cnf008,correct,1.40023117547389,high,16,cnf008,12.55422,25.84123
5831,response,53,201,50,7 * 9 = 63,87.8083333333333,2.51435802306514,easy,high,cnf008,correct,0.933421916444786,high,17,cnf008,-9.368265,-4.988627
6189,response,56,201,59,9 * 8 = 74,77.45,2.76416126091499,easy,low,cnf008,correct,1.18362220644485,high,18,cnf008,7.154677,-9.144564
6547,response,62,201,40,19 * 9 = 173,91.8416666666667,2.24725254636724,hard,low,cnf008,correct,1.53358041658066,high,19,cnf008,3.243088,1.29383
6905,response,65,201,42,6 * 6 = 34,95.5083333333333,1.93092799233273,easy,low,cnf008,correct,1.03347393730655,high,20,cnf008,-3.121423,-17.1557
7263,response,68,201,47,7 * 6 = 44,35.7416666666667,2.19777977908961,easy,low,cnf008,correct,0.733454822329804,med,21,cnf008,-4.503582,-5.060857
7621,response,71,200,37,19 * 6 = 114,8.425,2.78128004749306,hard,high,cnf008,error,1.78367069945671,low,22,cnf008,-10.7788,3.886547
7979,response,74,200,34,18 * 8 = 144,27.4,2.88061686127912,hard,high,cnf008,error,2.18223829683848,low,23,cnf008,-12.26648,-35.16564
8337,response,77,201,49,7 * 8 = 54,82.675,2.81360355974175,easy,low,cnf008,correct,2.06704793940298,high,24,cnf008,-8.01849,1.629812
8695,response,80,200,43,6 * 7 = 42,27.4916666666667,3.28068895929027,easy,high,cnf008,error,0.833490165765397,low,25,cnf008,-8.814428,-13.07401
9053,response,83,201,64,16 * 8 = 126,35.0083333333333,2.29752615315374,hard,low,cnf008,correct,1.10030218306929,med,26,cnf008,-5.816174,-9.342637
9411,response,86,200,52,8 * 6 = 46,79.8333333333333,3.86377902608365,easy,low,cnf008,error,1.88355241762474,high,27,cnf008,18.25273,21.35266
9769,response,89,201,58,9 * 7 = 63,96.8833333333333,2.09783135098405,easy,high,cnf008,correct,0.900129507062957,high,28,cnf008,-3.985772,-3.026035
10127,response,92,201,45,6 * 9 = 54,94.8666666666667,2.53136135020759,easy,high,cnf008,correct,0.783538883202709,high,29,cnf008,8.644751,16.50133
10485,response,95,201,53,8 * 7 = 56,71.8583333333333,3.34730809519533,easy,high,cnf008,correct,1.61682603275403,high,30,cnf008,-8.010478,11.88193
10843,response,98,200,111,18 * 4 = 72,71.5833333333333,2.51303665386513,hard,high,cnf008,error,1.55034159950446,high,31,cnf008,-8.692747,-10.64165
11201,response,104,201,114,18 * 8 = 144,69.6583333333333,2.36303527478594,hard,high,cnf008,correct,2.35032158659305,high,32,cnf008,-13.95948,-12.62735
11559,response,107,200,116,19 * 4 = 76,64.8,3.16341616259888,hard,high,cnf008,error,2.46692664280999,med,33,cnf008,-4.623964,-9.690155
